Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.338125,1.338125,1.338125,1.338125,0.773609,62774
2000-01-04,1.274405,1.274405,1.274405,1.274405,0.736770,34525
2000-01-05,1.338125,1.338125,1.338125,1.338125,0.773609,3138
2000-01-06,1.274405,1.338125,1.274405,1.338125,0.773609,106716
2000-01-07,1.338125,1.338125,1.338125,1.338125,0.773609,47080
2000-01-10,1.274405,1.274405,1.274405,1.274405,0.736770,21971
2000-01-11,1.401845,1.401845,1.401845,1.401845,0.810447,3138
2000-01-12,1.309451,1.309451,1.306265,1.306265,0.755190,627743
2000-01-13,1.306265,1.306265,1.274405,1.274405,0.736770,204016
2000-01-14,1.274405,1.274405,1.274405,1.274405,0.736770,3138
2000-01-17,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-01-18,1.274405,1.274405,1.274405,1.274405,0.736770,109855
2000-01-19,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-01-20,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-01-21,1.274405,1.274405,1.274405,1.274405,0.736770,11321360
2000-01-24,1.274405,1.274405,1.274405,1.274405,0.736770,15693
2000-01-25,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-01-26,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-01-27,1.274405,1.338125,1.274405,1.274405,0.736770,1942867
2000-01-28,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-01-31,1.334939,1.338125,1.334939,1.338125,0.773609,15693
2000-02-01,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-02,1.242545,1.338125,1.242545,1.338125,0.773609,1594469
2000-02-03,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-04,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-07,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-08,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-09,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-10,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-11,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-14,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-15,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-16,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-17,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-18,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-02-21,1.274405,1.274405,1.274405,1.274405,0.736770,2448201
2000-02-22,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-02-23,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-02-24,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-02-25,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-02-28,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-02-29,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-01,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-02,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-03,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-06,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-07,1.242545,1.242545,1.242545,1.242545,0.718352,313871
2000-03-08,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-03-09,1.274405,1.274405,1.274405,1.274405,0.736770,3138
2000-03-10,1.271219,1.271219,1.271219,1.271219,0.734928,34525
2000-03-13,1.271219,1.271219,1.271219,1.271219,0.734928,0
2000-03-14,1.271219,1.274405,1.271219,1.274405,0.736770,2040167
2000-03-15,1.274405,1.274405,1.274405,1.274405,0.736770,3138
2000-03-16,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-17,1.274405,1.274405,1.274405,1.274405,0.736770,3138
2000-03-20,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-21,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-22,1.274405,1.274405,1.274405,1.274405,0.736770,3138
2000-03-23,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-24,1.274405,1.274405,1.274405,1.274405,0.736770,0
2000-03-27,1.271219,1.274405,1.271219,1.274405,0.736770,251097
2000-03-28,1.271219,1.299893,1.271219,1.299893,0.751506,332704
2000-03-29,1.274405,1.274405,1.274405,1.274405,0.736770,313871
2000-03-30,1.338125,1.338125,1.338125,1.338125,0.773609,1098551
2000-03-31,1.306265,1.338125,1.306265,1.338125,0.773609,87884
2000-04-03,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-04,1.334939,1.338125,1.334939,1.338125,0.773609,313871
2000-04-05,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-06,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-07,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-10,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-11,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-12,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-13,1.338125,1.338125,1.338125,1.338125,0.773609,0
2000-04-14,1.242545,1.242545,1.242545,1.242545,0.718352,156935
2000-04-17,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-18,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-19,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-20,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-21,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-24,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-25,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-26,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-27,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-04-28,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-01,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-02,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-03,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-04,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-05,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-08,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-09,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-10,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-11,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-12,1.242545,1.242545,1.242545,1.242545,0.718352,3138
2000-05-15,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-16,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-17,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-18,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-19,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-22,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-23,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-24,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-25,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-26,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-29,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-30,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-05-31,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-01,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-02,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-05,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-06,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-07,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-08,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-09,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-12,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-13,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-14,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-15,1.242545,1.242545,1.242545,1.242545,0.718352,0
2000-06-16,1.242545,1.242545,1.242545,1.242545,0.718352,0
